"Hugo_Symbol","key","Variant_Classification","N","samples","qvalues","nSamples","cito","total","Fract"
"AGT","Del_DP_1:1q43","Del",14,"sarc-sg007-01-000-000,sarc-sg036-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sarc-sg051-01-000-000,sgit-st019-01-000-000,sgit-st034-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st058-01-000-000,sgit-st066-01-000-000,sgit-st072-01-000-000,sgit-st082-01-000-000",0.041395,14,"1q43",36,0.388888888888889
"AGXT","Del_DP_2:2q37.1","Del",22,"sarc-sg001-01-000-000,sarc-sg007-01-000-000,sarc-sg026-01-000-000,sarc-sg036-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sarc-sg051-01-000-000,sgit-st006-01-000-000,sgit-st017-01-000-000,sgit-st018-01-000-000,sgit-st034-01-000-000,sgit-st046-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st058-01-000-000,sgit-st066-01-000-000,sgit-st072-01-000-000,sgit-st081-01-000-000,sgit-st082-01-000-000,sgit-st090-01-000-000,sgit-st097-01-000-000",0.041395,22,"2q37.1",36,0.611111111111111
"AHCTF1","Del_DP_1:1q43","Del",14,"sarc-sg007-01-000-000,sarc-sg036-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sarc-sg051-01-000-000,sgit-st019-01-000-000,sgit-st034-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st058-01-000-000,sgit-st066-01-000-000,sgit-st072-01-000-000,sgit-st082-01-000-000",0.041395,14,"1q43",36,0.388888888888889
"AIFM2","Del_DP_5:10q21.3","Del",23,"sarc-sg007-01-000-000,sarc-sg036-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sarc-sg051-01-000-000,sarc-sg092-01-000-000,sgit-st006-01-000-000,sgit-st012-01-000-000,sgit-st018-01-000-000,sgit-st019-01-000-000,sgit-st034-01-000-000,sgit-st046-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st058-01-000-000,sgit-st064-01-000-000,sgit-st066-01-000-000,sgit-st072-01-000-000,sgit-st081-01-000-000,sgit-st082-01-000-000,sgit-st097-01-000-000,sgit-st115-01-000-000",0.092649,23,"10q21.3",36,0.638888888888889
"AK5","Amp_AP_1:1p31.1","Amp",19,"sarc-sg001-01-000-000,sarc-sg007-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sgit-st006-01-000-000,sgit-st017-01-000-000,sgit-st019-01-000-000,sgit-st042-01-000-000,sgit-st046-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st057-01-000-000,sgit-st058-01-000-000,sgit-st066-01-000-000,sgit-st072-01-000-000,sgit-st081-01-000-000,sgit-st090-01-000-000,sgit-st096-01-000-000",0.038155,19,"1p31.1",36,0.527777777777778
"AKAP10","Amp_AP_14:17p11.2","Amp",23,"sarc-sg036-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sarc-sg047-01-000-000,sarc-sg051-01-000-000,sarc-sg092-01-000-000,sgit-st012-01-000-000,sgit-st017-01-000-000,sgit-st019-01-000-000,sgit-st031-01-000-000,sgit-st034-01-000-000,sgit-st042-01-000-000,sgit-st046-01-000-000,sgit-st049-01-000-000,sgit-st058-01-000-000,sgit-st064-01-000-000,sgit-st066-01-000-000,sgit-st072-01-000-000,sgit-st081-01-000-000,sgit-st082-01-000-000,sgit-st090-01-000-000,sgit-st096-01-000-000",5.9847e-05,23,"17p11.2",36,0.638888888888889
"AKAP11","Del_DP_7:13q14.3","Del",28,"sarc-sg001-01-000-000,sarc-sg007-01-000-000,sarc-sg036-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sarc-sg051-01-000-000,sarc-sg092-01-000-000,sgit-st006-01-000-000,sgit-st012-01-000-000,sgit-st018-01-000-000,sgit-st019-01-000-000,sgit-st034-01-000-000,sgit-st042-01-000-000,sgit-st045-01-000-000,sgit-st046-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st058-01-000-000,sgit-st064-01-000-000,sgit-st066-01-000-000,sgit-st071-01-000-000,sgit-st072-01-000-000,sgit-st082-01-000-000,sgit-st090-01-000-000,sgit-st096-01-000-000,sgit-st097-01-000-000,sgit-st115-01-000-000",0.079754,28,"13q14.3",36,0.777777777777778
"AKT3","Del_DP_1:1q43","Del",14,"sarc-sg007-01-000-000,sarc-sg036-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sarc-sg051-01-000-000,sgit-st019-01-000-000,sgit-st034-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st058-01-000-000,sgit-st066-01-000-000,sgit-st072-01-000-000,sgit-st082-01-000-000",0.041395,14,"1q43",36,0.388888888888889
"ALDH3A1","Amp_AP_14:17p11.2","Amp",23,"sarc-sg036-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sarc-sg047-01-000-000,sarc-sg051-01-000-000,sarc-sg092-01-000-000,sgit-st012-01-000-000,sgit-st017-01-000-000,sgit-st019-01-000-000,sgit-st031-01-000-000,sgit-st034-01-000-000,sgit-st042-01-000-000,sgit-st046-01-000-000,sgit-st049-01-000-000,sgit-st058-01-000-000,sgit-st064-01-000-000,sgit-st066-01-000-000,sgit-st072-01-000-000,sgit-st081-01-000-000,sgit-st082-01-000-000,sgit-st090-01-000-000,sgit-st096-01-000-000",5.9847e-05,23,"17p11.2",36,0.638888888888889
"ALDH3A2","Amp_AP_14:17p11.2","Amp",23,"sarc-sg036-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sarc-sg047-01-000-000,sarc-sg051-01-000-000,sarc-sg092-01-000-000,sgit-st012-01-000-000,sgit-st017-01-000-000,sgit-st019-01-000-000,sgit-st031-01-000-000,sgit-st034-01-000-000,sgit-st042-01-000-000,sgit-st046-01-000-000,sgit-st049-01-000-000,sgit-st058-01-000-000,sgit-st064-01-000-000,sgit-st066-01-000-000,sgit-st072-01-000-000,sgit-st081-01-000-000,sgit-st082-01-000-000,sgit-st090-01-000-000,sgit-st096-01-000-000",5.9847e-05,23,"17p11.2",36,0.638888888888889
