"Hugo_Symbol","key","Variant_Classification","N","samples","qvalues","nSamples","cito","total","Fract"
"MED20","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"MIR4641","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"MIR4642","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"MIR4647","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"MIR586","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"MMP20","Amp_AP_4:11q22.2","Amp",4,"sarc-sg029-01-000-000,sgit-st085-01-000-000,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,4,"11q22.2",11,0.363636363636364
"MMP7","Amp_AP_4:11q22.2","Amp",4,"sarc-sg029-01-000-000,sgit-st085-01-000-000,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,4,"11q22.2",11,0.363636363636364
"MRPL14","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"MRPL2","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"MRPS10","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"MRPS18A","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"NCR2","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"NFKBIE","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"NFYA","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"PEX6","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"PGC","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"POLH","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"POLR1C","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"PPP2R5D","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"PRICKLE4","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"PRPH2","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"PTCRA","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"PTK7","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"RPL7L1","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"RRP36","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"RSPH9","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"RUNX2","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"SLC22A7","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"SLC29A1","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"SLC35B2","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"SPATS1","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"SRF","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"SUPT3H","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"TAF8","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"TBCC","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"TCTE1","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"TFEB","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"TJAP1","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"TMEM123","Amp_AP_4:11q22.2","Amp",4,"sarc-sg029-01-000-000,sgit-st085-01-000-000,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,4,"11q22.2",11,0.363636363636364
"TMEM151B","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
