"Hugo_Symbol","key","Variant_Classification","N","samples","qvalues","nSamples","cito","total","Fract"
"KRTAP5-3","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"KRTAP5-4","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"KRTAP5-5","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"KRTAP5-6","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"LCMT2","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"LINC00293","Del_DP_2:8p11.21","Del",4,"sarc-sg048-01-000-000,sarc-sg054-01-000-200,sgit-st061-01-000-000,sgit-st084-01-000-000",0.059264,4,"8p11.21",12,0.333333333333333
"LINC00471","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"LOC100128714","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"LOC100130000","Amp_AP_1:1q21.1","Amp",7,"sarc-sg048-01-000-000,sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st020-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st104-01-000-000",0.073087,7,"1q21.1",12,0.583333333333333
"LOC100131089","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"LOC100133161","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"LOC100286793","Amp_AP_1:1q21.1","Amp",7,"sarc-sg048-01-000-000,sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st020-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st104-01-000-000",0.073087,7,"1q21.1",12,0.583333333333333
"LOC100286922","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"LOC100287846","Del_DP_2:8p11.21","Del",4,"sarc-sg048-01-000-000,sarc-sg054-01-000-200,sgit-st061-01-000-000,sgit-st084-01-000-000",0.059264,4,"8p11.21",12,0.333333333333333
"LOC100288615","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"LOC100288637","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"LOC100289656","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"LOC100505648","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"LOC100506710","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"LOC100507466","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"LOC143666","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"LOC145845","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"LOC150935","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"LOC151171","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"LOC151174","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"LOC151475","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"LOC151484","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"LOC158376","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"LOC255512","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"LOC283683","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
